time_s,ia_A,ib_A,ic_A,theta_e_rad
0.0,0.0,0.0,-0.0,0.399921568627451
0.0001,-0.2690016742189021,0.16756951069018935,0.10143216352871273,0.39984806805098183
0.0002,-0.48031205553907347,0.35353647569672075,0.12677557984235274,0.3998793019311248
0.00030000000000000003,-0.6312920879129176,0.5314250924539363,0.09986699545898128,0.40011499923547467
0.0004,-0.7261036155753126,0.6834769967364926,0.04262661883881996,0.4006432633681267
0.0005,-0.7734311621776173,0.8000898763062965,-0.026658714128679206,0.4015337928884761
0.0006000000000000001,-0.7843157278398014,0.878510102521285,-0.09419437468148362,0.4028352178435271
0.0007,-0.7703203113368684,0.9211394067073531,-0.15081909537048466,0.4045756404048424
0.0008,-0.7421447045557521,0.9337536956991763,-0.19160899114342422,0.40676538286889163
0.0009000000000000001,-0.7087219361064234,0.9238570835716208,-0.21513514746519735,0.4094009897338046
0.001,-0.6767642844240087,0.8993167010838583,-0.2225524166598496,0.41246966355378795
0.0011,-0.6506841290162853,0.8673519545532072,-0.216667825536922,0.41595349918212715
0.0012000000000000001,-0.632792808472554,0.8338914956037187,-0.20109868713116463,0.41983308477049636
0.0013000000000000002,-0.6236759923883013,0.8032657383296358,-0.17958974594133442,0.4240902335021275
0.0014,-0.6226525670062664,0.7781734802645803,-0.15552091325831402,0.42870977793123194
0.0015,-0.6282409878711924,0.7598471240741527,-0.13160613620296024,0.433680487378691
0.0016,-0.6385780455138418,0.748339674413733,-0.10976162889989122,0.4389952540093846
0.0017000000000000001,-0.6517563596683986,0.7428647236782913,-0.09110836400989258,0.44465073710500724
0.0018000000000000002,-0.6660660147659393,0.7421344365899403,-0.07606842182400098,0.45064666411497556
0.0019,-0.6801409801864753,0.7446567970577316,-0.06451581687125635,0.45698497015825773
0.002,-0.6930216683646194,0.7489694420108874,-0.05594777364626796,0.4636689242099028
0.0021000000000000003,-0.7041512526566914,0.7538014277060746,-0.04965017504938318,0.4707023489501101
0.0022,-0.7133257752746515,0.7581652004961156,-0.04483942522146411,0.47808899930407883
0.0023,-0.720617481547541,0.761388505308094,-0.040771023760552916,0.4858321271976107
0.0024000000000000002,-0.7262881706375759,0.7631001091892683,-0.0368119385516924,0.49393423012363474
0.0025,-0.7307055596414095,0.7631845356334211,-0.03247897599201166,0.502396960093926
0.0026000000000000003,-0.7342714875819181,0.7617201718664501,-0.02744868428453201,0.5112211573473094
0.0027,-0.7373668254249219,0.7589128503670948,-0.021546024942172837,0.5204069687051528
0.0028,-0.740314599760922,0.7550339953161616,-0.014719395555239545,0.5299540120212525
0.0029000000000000002,-0.7433602901416904,0.7503692318703679,-0.007008941728677498,0.5398615538533766
0.003,-0.7466665787138869,0.7451804055704994,0.0014861731433875591,0.5501286754341592
0.0031000000000000003,-0.7503189558336697,0.7396815246637125,0.010637431169957245,0.5607544106453464
0.0032,-0.7543383817422447,0.7340273544281493,0.020311027314095398,0.5717378477806432
0.0033,-0.7586974992398111,0.7283122795628396,0.030385219676971498,0.5830781936102041
0.0034000000000000002,-0.7633375057517586,0.7225765438045728,0.040760961947185814,0.5947748032178515
0.0035,-0.7681835611752763,0.7168169580289877,0.0513666031462886,0.6068271821849586
0.0036000000000000003,-0.7731573965074195,0.7109994984220578,0.06215789808536182,0.6192349691043754
0.0037,-0.7781865003806585,0.7050717539481433,0.07311474643251531,0.6319979064430298
0.0038,-0.7832098364282407,0.6989738029577228,0.08423603347051789,0.6451158068261732
0.0039000000000000003,-0.7881804572938731,0.6926467045558098,0.09553375273806336,0.6585885202883379
0.004,-0.7930656310983647,0.6860383138760862,0.1070273172222786,0.6724159062802187
0.0041,-0.7978452020819895,0.6791065337883888,0.11873866829360075,0.6865978125165968
0.004200000000000001,-0.8025088988746396,0.6718203863096424,0.1306885125649973,0.7011340612907105
0.0043,-0.8070532157379153,0.6641594320289456,0.14289378370896977,0.7160244427722874
0.0044,-0.8114783576727631,0.6561121050476054,0.15536625262515769,0.7312687140830134
0.0045000000000000005,-0.815785588544786,0.6476734908882413,0.16811209765654464,0.7468666025810783
0.0046,-0.8199751749072851,0.6388429837642219,0.1811321911430632,0.7628178117246446
0.0047,-0.8240449923669004,0.6296221435111407,0.19442284885575972,0.7791220280425014
0.0048000000000000004,-0.8279897646425574,0.6200129526756797,0.20797681196687762,0.7957789280347947
0.0049,-0.8318008405777135,0.6100165661911369,0.22178427438657666,0.812788184181198
0.005,-0.8354663794946748,0.5996325592183723,0.23583382027630248,0.8301494695866608
0.0051,-0.8389718056974095,0.5888586172147969,0.25011318848261255,0.8478624611025289
0.005200000000000001,-0.8423004023612934,0.5776905759601704,0.26460982640112307,0.8659268409982407
0.0053,-0.845433936848403,0.566122704973743,0.27931123187466006,0.8843422974169012
0.0054,-0.8483532375128218,0.5541481306338957,0.2942051068789261,0.9031085239303194
0.0055000000000000005,-0.8510386712355054,0.5417593098643436,0.3092793613711618,0.9222252185275172
0.0056,-0.853470497520203,0.528948486211386,0.324522011308817,0.9416920823417431
0.0057,-0.8556290966433506,0.5157080830335259,0.3399210136098247,0.9615088183622503
0.0058000000000000005,-0.8574950849903024,0.5020310099910951,0.3554640749992073,0.9816751303047146
0.0059,-0.8590493402542156,0.4879108768766502,0.37113846337756545,1.002190721741331
0.006,-0.8602729632807009,0.473342121981136,0.3869308412995649,1.0230552955276964
0.0061,-0.8611472031128371,0.45832007046159157,0.40282713265124553,1.0442685535140226
0.006200000000000001,-0.8616533685160706,0.4428409420322928,0.41881242648377776,1.0658301964950927
